Nivel_Escolar,Total,Percentual
Nunca_frequentei_nenhum_tipo_de_escola,203,4.98
Educacao_Infantil,1380,33.87
1_Ano_do_Ensino_Fundamental,416,10.21
2_Ano_do_Ensino_Fundamental,265,6.50
3_Ano_do_Ensino_Fundamental,278,6.82
4_Ano_do_Ensino_Fundamental,211,5.18
5_Ano_do_Ensino_Fundamental,192,4.71
6_Ano_do_Ensino_Fundamental,178,4.37
7_Ano_do_Ensino_Fundamental,121,2.97
8_Ano_do_Ensino_Fundamental,103,2.53
9_Ano_do_Ensino_Fundamental,105,2.58
1_Ano_do_Ensino_Medio,75,1.84
2_Ano_do_Ensino_Medio,84,2.06
3_Ano_do_Ensino_Medio,199,4.88
Curso_Tecnico,61,1.50
Superior_Graduacao,147,3.61
Pos_Graduacao,38,0.93
Mestrado,12,0.29
Doutorado,6,0.15
